threads_per_block;vector_size;time
1;3355443;49.5022
1;3355443;47.1183
1;3355443;32.9812
1;3355443;33.8404
1;3355443;31.8869
1;6710886;102.134
1;6710886;99.3709
1;6710886;105.66
1;6710886;102.413
1;6710886;102.084
1;10066329;172.029
1;10066329;173.497
1;10066329;172.816
1;10066329;171.987
1;10066329;173.631
1;13421772;229.108
1;13421772;231.51
1;13421772;228.553
1;13421772;219.089
1;13421772;197.62
1;16777215;240.531
1;16777215;245.519
1;16777215;260.091
1;16777215;244.514
1;16777215;239.661
2;3355443;33.4865
2;3355443;27.2441
2;3355443;27.331
2;3355443;27.4429
2;3355443;27.6221
2;6710886;72.5367
2;6710886;76.9653
2;6710886;78.1345
2;6710886;76.6875
2;6710886;76.202
2;10066329;132.464
2;10066329;135.296
2;10066329;139.406
2;10066329;134.798
2;10066329;131.968
2;13421772;174.884
2;13421772;172.215
2;13421772;178.89
2;13421772;175.97
2;13421772;174.385
2;16777215;224.455
2;16777215;220.485
2;16777215;221.278
2;16777215;217.752
2;16777215;216.25
4;3355443;31.0144
4;3355443;25.2444
4;3355443;25.0814
4;3355443;25.193
4;3355443;24.9966
4;6710886;69.3821
4;6710886;72.501
4;6710886;71.6747
4;6710886;70.8998
4;6710886;71.2637
4;10066329;126.381
4;10066329;124.759
4;10066329;123.519
4;10066329;122.575
4;10066329;123.988
4;13421772;164.52
4;13421772;164.147
4;13421772;176.978
4;13421772;165.082
4;13421772;165.288
4;16777215;208.057
4;16777215;207.751
4;16777215;212.325
4;16777215;209.873
4;16777215;206.907
16;3355443;28.9923
16;3355443;23.2374
16;3355443;23.0953
16;3355443;22.7096
16;3355443;22.6424
16;6710886;64.1523
16;6710886;70.0092
16;6710886;68.4221
16;6710886;68.1707
16;6710886;67.8067
16;10066329;118.315
16;10066329;122.677
16;10066329;118.802
16;10066329;118.396
16;10066329;117.303
16;13421772;157.435
16;13421772;156.674
16;13421772;158.622
16;13421772;159.504
16;13421772;157.154
16;16777215;196.725
16;16777215;197.263
16;16777215;228.83
16;16777215;255.246
16;16777215;242.89
64;3355443;35.2217
64;3355443;27.5191
64;3355443;26.9923
64;3355443;26.6413
64;3355443;26.6295
64;6710886;78.4913
64;6710886;83.2984
64;6710886;85.5756
64;6710886;84.286
64;6710886;84.7824
64;10066329;145.829
64;10066329;146.283
64;10066329;144.05
64;10066329;143.791
64;10066329;147.099
64;13421772;193
64;13421772;155.908
64;13421772;158.999
64;13421772;155.547
64;13421772;154.365
64;16777215;192.939
64;16777215;195.02
64;16777215;193.792
64;16777215;199.439
64;16777215;195.076
128;3355443;29.0973
128;3355443;23.4379
128;3355443;22.3322
128;3355443;22.3168
128;3355443;21.9195
128;6710886;63.91
128;6710886;68.8729
128;6710886;68.7014
128;6710886;68.0636
128;6710886;68.4754
128;10066329;117.563
128;10066329;116.573
128;10066329;120.455
128;10066329;116.938
128;10066329;117.707
128;13421772;154.992
128;13421772;155.523
128;13421772;157.365
128;13421772;155.84
128;13421772;158.082
128;16777215;195.156
128;16777215;194.74
128;16777215;193.724
128;16777215;194.473
128;16777215;197.87
256;3355443;29.2079
256;3355443;23.0626
256;3355443;22.7993
256;3355443;23.1737
256;3355443;23.2097
256;6710886;64.7365
256;6710886;68.7363
256;6710886;68.7551
256;6710886;68.836
256;6710886;67.5606
256;10066329;125.584
256;10066329;123.282
256;10066329;118.347
256;10066329;116.981
256;10066329;130.525
256;13421772;160.153
256;13421772;156.911
256;13421772;155.026
256;13421772;157.639
256;13421772;155.778
256;16777215;193.927
256;16777215;193.391
256;16777215;194.345
256;16777215;193.952
256;16777215;195.378
