b;t
10000;5785.24689655
20000;8085.4053012
30000;9474.19256471
40000;7519.20044818
50000;4338.00025856
60000;3397.91716456
70000;6246.83574468
80000;5958.61167592
90000;5918.46914258
100000;5894.49837505
110000;5729.1230423
120000;5498.84853534
130000;5486.88825157
140000;5329.12136132
150000;5378.74945231
160000;5330.06614048
170000;5322.37316538
180000;5378.27048976
190000;5354.05591434
200000;5221.46383972
210000;5290.11315315
220000;5204.07123017
230000;5178.67428955
240000;5280.69749508
250000;5202.23751938
260000;5241.30508862
270000;5260.38417187
280000;5105.4155468
290000;5134.30169107
300000;5172.16678227
310000;5145.62152857
320000;5183.40248129
330000;5161.61872043
340000;5148.2431769
350000;5157.11985948
360000;5100.6420437
370000;5140.31253079
380000;5150.23090377
390000;5096.87574684
400000;5155.28050701
410000;5163.18901107
420000;5187.39723567
430000;5136.03479932
440000;5109.9593597
450000;5082.29363851
460000;5076.89786037
470000;5113.26352922
480000;5206.44168741
490000;5142.03961845
500000;5161.02930093
510000;5120.13174359
520000;5085.48663363
530000;5082.1887433
540000;5095.4424297
550000;5112.52513332
560000;5104.37539423
570000;5118.35853081
580000;5142.44168582
590000;5045.13630989
600000;5053.37831325
610000;5095.71258356
620000;5045.77924812
630000;5056.64206674
640000;5110.01462939
650000;5065.11398049
660000;5060.47989032
670000;5084.00484848
680000;5064.25785373
690000;5100.80592201
700000;5098.62753568
710000;5050.59290227
720000;5095.26332173
730000;5076.89214156
740000;5108.06000411
750000;5062.272869
760000;5028.86379807
770000;5002.54855317
780000;5072.42733853
790000;4981.30250493
800000;5082.07981825
810000;5089.95550728
820000;5012.91445958
830000;5056.54369933
840000;5036.76248749
850000;5061.89851806
860000;5074.39425331
870000;5036.42110675
880000;5056.79670506
890000;5051.32687415
900000;5019.36155572
910000;5046.40468041
920000;5018.09687325
930000;4970.43312388
940000;5001.96900924
950000;5039.59691712
960000;5001.90290683
970000;5054.59471833
980000;5000.69853021
990000;5034.88123679
1000000;4974.71193477
1010000;6125.06349539
1020000;4980.79322419
1030000;4998.88844115
1040000;4997.3663583
1050000;4989.15334018
1060000;4897.10834641
1070000;4964.32538145
1080000;4941.37195296
1090000;5063.94335479
1100000;5067.77540246
1110000;6144.84133141
1120000;5042.39418221
1130000;6109.8993933
1140000;6262.61500982
1150000;6283.08992917
1160000;6015.01176325
1170000;5077.10125315
1180000;5040.15908857
1190000;5057.28251282
1200000;5065.77573127
1210000;5027.34803368
1220000;5972.84800875
1230000;5005.84630947
1240000;5017.6364292
1250000;5069.71746291
1260000;5828.51412304
1270000;5004.30140802
1280000;6168.27128537
1290000;5635.54565374
1300000;5016.90808821
1310000;4955.19611307
1320000;4993.44422097
1330000;5491.58857565
1340000;5001.30017297
1350000;5014.08342696
1360000;4935.8095852
1370000;5041.35239787
1380000;5006.36442522
1390000;5020.25299822
1400000;5479.87224264
1410000;4967.24314234
1420000;5491.37562336
1430000;4943.24441857
1440000;4863.45063714
1450000;5908.54652984
1460000;5699.59811756
1470000;6290.25250781
1480000;5911.97135238
1490000;6162.2782091
1500000;5033.03897403
1510000;4974.19912822
1520000;4999.53307259
1530000;5527.37736434
1540000;5279.16893009
1550000;5638.33044421
1560000;6284.2804394
1570000;5767.19669823
1580000;4960.09754035
1590000;5533.38832473
1600000;4992.87077259
1610000;5415.26017642
1620000;5225.24078054
1630000;5410.66668249
1640000;4957.81507996
1650000;5015.83736184
1660000;5565.72227724
1670000;5716.63663343
1680000;4965.11611045
1690000;4948.25393368
1700000;4914.28252423
1710000;6239.79976293
1720000;5035.21401501
1730000;4950.36071719
1740000;4851.94869881
1750000;5884.23538843
1760000;4974.58622078
1770000;5513.74874809
1780000;5139.56535238
1790000;5486.40632839
1800000;5019.36155572
1810000;5281.74992238
1820000;4948.67033264
1830000;5902.30312491
1840000;5067.10614962
1850000;5617.83743524
1860000;5469.75250498
1870000;4925.56620143
1880000;4934.66829585
1890000;5151.94577196
1900000;4943.46689412
1910000;5067.32280055
1920000;5432.08342664
1930000;4943.1382154
1940000;6074.61721538
1950000;5550.42137677
1960000;6115.69793979
1970000;6069.71498462
1980000;5566.98371159
1990000;5175.62451498
2000000;4635.31032101
2010000;5286.33694433
2020000;4822.136642
2030000;6045.30702995
2040000;5374.18868493
2050000;5494.13623003
2060000;5241.19044756
2070000;5084.8422731
2080000;5398.92231991
2090000;4743.63831098
2100000;5458.64682483
2110000;5764.52137437
2120000;5213.9626438
2130000;5913.77602582
2140000;5381.6855206
2150000;5637.6421053
2160000;5565.13787538
2170000;5242.03073667
2180000;6075.2176444
2190000;6026.00727273
2200000;5726.78965885
2210000;5215.40913036
2220000;5213.88948275
2230000;5306.83569929
2240000;5602.09646002
2250000;5055.83177914
2260000;5537.27756992
2270000;6014.57364498
