b;t
10000;721.212939
20000;1259.078124
30000;1772.241127
40000;2255.760134
50000;2669.405887
60000;2997.046401
70000;2855.696340
80000;3112.295142
90000;3758.430467
100000;4034.196814
110000;4242.514391
120000;4155.347616
130000;4421.770056
140000;2702.111291
150000;2890.131955
160000;3058.222227
170000;3203.736838
180000;3271.386735
190000;3574.624099
200000;3739.176153
210000;3894.131373
220000;4007.043040
230000;3350.708503
240000;4221.789609
250000;4358.284453
260000;4069.100896
270000;4148.687643
280000;4295.458206
290000;4302.801362
300000;4489.387713
310000;4186.285912
320000;4606.851117
330000;4638.375771
340000;4657.008625
350000;4856.425597
360000;4893.000717
370000;5046.804813
380000;5139.850513
390000;4529.282160
400000;1918.012618
410000;4126.369862
420000;4921.551053
430000;5016.830932
440000;5079.195005
450000;5055.916424
460000;1013.762354
470000;5216.002328
480000;5206.020965
490000;5219.992596
500000;5234.700780
510000;5082.872301
520000;4877.915751
530000;5171.978758
540000;3054.902977
550000;5262.689841
560000;5248.005005
570000;5261.630327
580000;5377.238533
590000;5294.407937
600000;5361.203435
610000;5438.608614
620000;5598.048527
630000;5606.867492
640000;5584.769906
650000;4948.750536
660000;5419.952305
670000;5466.618709
680000;5436.181729
690000;5605.267663
700000;5585.091523
710000;5539.416781
720000;5546.187107
730000;5672.047090
740000;5646.132609
750000;5772.639982
760000;5738.704545
770000;5450.250531
780000;5589.419532
790000;5595.947072
800000;5586.004703
810000;5558.096098
820000;5757.705308
830000;5738.163915
840000;5710.524820
850000;5723.426920
860000;5831.425992
870000;5856.626711
880000;5968.548216
890000;5881.814856
900000;5632.300797
910000;5351.771645
920000;5716.945681
930000;5729.218664
940000;5750.440489
950000;5830.216808
960000;5426.364240
970000;5838.170231
980000;5898.886601
990000;5887.264099
1000000;5943.044988
1010000;5987.892808
1020000;6013.708876
1030000;5750.593171
1040000;5799.187251
1050000;5845.962351
1060000;5894.058815
1070000;5956.078673
1080000;5904.486609
1090000;5852.127026
1100000;5350.808234
1110000;5258.053155
1120000;6048.032805
1130000;6087.338256
1140000;6103.482784
1150000;6095.505379
1160000;5885.629777
1170000;5926.062937
1180000;5974.909233
1190000;6007.187315
1200000;5992.308713
1210000;5849.846945
1220000;5993.398051
1230000;5955.978261
1240000;6064.790566
1250000;6101.915257
1260000;6108.739246
1270000;6243.828372
1280000;5946.649077
1290000;5955.383659
1300000;5997.011390
1310000;5977.400091
1320000;6052.039385
1330000;6072.787149
1340000;6116.158455
1350000;6050.082901
1360000;6120.648831
1370000;6164.413402
1380000;6129.271804
1390000;6214.611656
1400000;6111.520822
1410000;5312.345511
1420000;6080.951240
1430000;6126.120365
1440000;6103.310333
1450000;6122.686264
1460000;6079.795318
1470000;6071.892047
1480000;6138.321975
1490000;6104.344029
1500000;6187.620002
1510000;5938.663500
1520000;6204.146415
1530000;6280.680323
1540000;6111.448541
1550000;6094.907521
1560000;6127.407910
1570000;6207.194325
1580000;6192.553956
1590000;6208.541225
1600000;6103.927145
1610000;6174.015488
1620000;6248.605321
1630000;6267.005547
1640000;6289.598363
1650000;6302.557095
1660000;6298.273597
1670000;6143.277031
1680000;6150.730579
1690000;6200.704199
1700000;6235.519720
1710000;2876.202299
1720000;6228.704966
1730000;6170.684032
1740000;6193.021658
1750000;6232.911156
1760000;6334.590150
1770000;6355.074061
1780000;6250.197673
1790000;6075.965027
1800000;6108.364148
1810000;6039.230539
1820000;6005.415109
1830000;5988.794827
1840000;6062.019675
1850000;5929.335836
1860000;6166.357270
1870000;6090.295100
1880000;6124.052342
1890000;6090.406135
1900000;6150.688194
1910000;6177.845105
1920000;6013.395197
1930000;6041.049791
1940000;6057.235730
1950000;6112.061129
1960000;6206.453708
1970000;6131.647979
1980000;6081.956779
1990000;3785.121007
2000000;6215.798083
2010000;6215.501642
2020000;6237.801642
2030000;6267.960796
2040000;6261.529572
2050000;6123.889214
2060000;6203.188542
2070000;6190.247693
2080000;6178.988385
2090000;5456.111324
2100000;6148.852043
2110000;6141.022770
2120000;5920.672160
2130000;6185.550232
2140000;6260.509992
2150000;6140.923053
2160000;6096.700296
2170000;6034.569654
2180000;6072.696174
2190000;6083.003752
2200000;6162.172912
2210000;6122.970417
2220000;6122.744399
2230000;6154.877407
2240000;6263.493973
2250000;6164.442793
2260000;4840.302312
2270000;6287.128406
2280000;6268.387715
2290000;6344.616405
2300000;6165.383950
2310000;6182.928541
2320000;6179.502460
2330000;6238.326476
2340000;6186.001527
2350000;4961.721292
2360000;6177.308307
2370000;6172.666357
2380000;6161.051393
2390000;6216.553360
2400000;6139.292672
2410000;6273.194432
2420000;6332.506078
2430000;6153.640102
2440000;6186.433994
2450000;6207.449571
2460000;6219.870599
2470000;6287.915865
2480000;6252.887597
2490000;6236.859993
2500000;6286.662420
2510000;6020.237983
2520000;6260.247919
2530000;6348.780089
2540000;6317.415854
2550000;6358.429903
2560000;6184.258166
2570000;6235.800871
2580000;6230.778362
2590000;6263.493973
2600000;6096.222993
2610000;6289.309863
2620000;6289.130582
2630000;6281.119320
2640000;6272.966787
2650000;6377.453860
2660000;6203.634344
2670000;6264.182173
2680000;6099.460957
2690000;6227.932249
2700000;6243.545460
2710000;6180.524424
2720000;6198.696327
2730000;6223.810532
2740000;6310.709133
2750000;6185.356057
2760000;6173.295270
2770000;6221.790755
2780000;6117.509941
2790000;6293.147706
2800000;6218.719195
2810000;6131.851914
2820000;6252.998397
2830000;6227.639203
2840000;5876.124921
2850000;6278.032575
2860000;6254.891675
2870000;6296.357890
2880000;6316.025173
2890000;6285.576865
2900000;6297.529587
2910000;2865.522546
2920000;6352.060256
2930000;6349.424293
2940000;6063.401717
2950000;6231.876880
2960000;6189.388591
2970000;6134.416487
2980000;6286.742262
2990000;6330.225988
3000000;6232.539029
3010000;6278.484463
3020000;6372.229815
3030000;6305.405148
3040000;6299.647874
3050000;6309.459941
3060000;6388.337964
3070000;6310.856230
3080000;4270.696429
3090000;6401.777901
3100000;6433.021380
3110000;6381.451653
3120000;6450.986095
3130000;5135.275571
3140000;6301.490220
3150000;6366.106174
3160000;6243.144483
3170000;6478.814054
3180000;6473.720234
3190000;6366.137125
3200000;6419.789089
3210000;6418.361095
3220000;6388.958299
3230000;4845.405343
3240000;6216.093066
3250000;6415.289595
3260000;6390.386933
3270000;6395.884213
3280000;5736.996297
3290000;6415.090291
3300000;6335.190411
3310000;6044.362989
3320000;6313.443709
3330000;6356.144805
3340000;6328.254373
3350000;6426.949525
3360000;6369.295041
3370000;6375.375187
3380000;6407.841019
3390000;6330.496395
3400000;6449.309975
3410000;6409.220732
3420000;6470.603746
3430000;2857.114175
3440000;6369.893414
3450000;6296.161012
3460000;6207.886145
3470000;6282.177568
3480000;6449.033406
3490000;6354.643967
3500000;6445.603765
3510000;6316.424773
3520000;6377.430145
3530000;6345.779377
3540000;6301.218216
3550000;6406.186515
3560000;6421.728243
3570000;6344.857439
3580000;6308.002392
3590000;6311.536664
3600000;6325.968772
3610000;6339.639897
3620000;6463.333582
3630000;6424.780144
3640000;6380.635904
3650000;6312.994771
3660000;6429.549684
3670000;6393.394273
3680000;6373.423991
3690000;6467.437336
3700000;5931.389592
3710000;6388.040678
3720000;6364.597544
3730000;6400.635745
3740000;6319.149801
3750000;6341.394482
3760000;6404.378955
3770000;6372.324945
3780000;6392.447797
3790000;6233.810727
3800000;6430.321327
3810000;6415.938468
3820000;6494.790111
3830000;6169.856071
3840000;5086.513585
3850000;6209.378301
3860000;6407.604201
3870000;6211.257352
3880000;6289.201897
3890000;6355.532099
3900000;6381.736089
3910000;6497.434863
3920000;4837.786711
3930000;6408.558962
3940000;6463.185631
3950000;6473.418467
3960000;6404.566960
3970000;6366.045569
3980000;6403.118422
3990000;6440.978720
4000000;6429.052798
4010000;6446.669413
4020000;6458.336524
4030000;5749.212855
4040000;6385.976153
4050000;6387.039825
4060000;6395.521052
4070000;6427.946212
4080000;6444.877251
4090000;6431.983638
4100000;6438.204869
4110000;6393.320377
4120000;4669.980317
4130000;6483.417351
4140000;6454.574318
4150000;6388.095181
4160000;6420.423951
4170000;4660.764673
4180000;6494.080437
4190000;6477.525430
4200000;6517.156174
4210000;4412.057647
4220000;6383.181141
4230000;6332.507829
4240000;6403.114077
4250000;6373.823610
4260000;6361.171302
4270000;5869.740250
4280000;6403.217770
4290000;6395.295701
4300000;6436.798537
4310000;6439.558372
4320000;5748.823456
4330000;6475.278963
4340000;6350.973512
4350000;6362.000161
4360000;6316.673799
4370000;6334.169975
4380000;6453.625441
4390000;6381.007223
4400000;6360.755711
4410000;6360.277884
4420000;6228.854776
4430000;6410.476702
4440000;6539.231571
4450000;6451.102670
4460000;6483.175754
4470000;5750.203613
4480000;6418.815947
4490000;6354.188576
4500000;6345.591830
4510000;6300.645897
4520000;6523.129939
4530000;6348.675541
4540000;6350.158248
4550000;6357.784813
4560000;6378.863744
4570000;5876.027599
4580000;6537.666779
4590000;6395.566841
4600000;6318.520041
4610000;6323.648653
4620000;6323.793581
4630000;6352.706276
