sid,arrsize,bsize,nthreads,total,draw,scatter,sort,gather
0,33554432,500,1,9366641.807617,255952.236328,2559975.724609,6196989.625000,353715.149414
1,33554432,500,1,9338672.487305,219705.968750,2566482.898438,6198327.610352,354153.133789
2,33554432,500,1,9328984.558594,219612.181641,2562113.630859,6193693.905273,353562.380859
3,33554432,500,1,9334333.205078,219658.399414,2563716.038086,6196859.972656,354095.387695
4,33554432,500,1,9338745.141602,219643.345703,2565961.082031,6199026.943359,354110.193359
5,33554432,500,1,9332347.191406,219605.138672,2565509.473633,6193670.408203,353560.104492
6,33554432,500,1,9333524.151367,219658.874023,2566680.739258,6193700.441406,353480.794922
7,33554432,500,1,9336697.617188,219599.054688,2564605.648438,6198832.949219,353657.213867
8,33554432,500,1,9339331.829102,219601.245117,2569464.666016,6196843.422852,353419.842773
9,33554432,500,1,9342976.338867,219533.380859,2569019.697266,6200067.891602,354351.640625
0,33554432,500,2,5011635.189453,128562.505859,1604934.913086,3101019.319336,177080.264648
1,33554432,500,2,4980141.769531,110115.939453,1592914.685547,3099991.325195,177114.243164
2,33554432,500,2,4978585.511719,110091.534180,1592242.616211,3098864.461914,177380.297852
3,33554432,500,2,4968402.345703,110086.271484,1581770.090820,3099376.375000,177162.579102
4,33554432,500,2,4965407.015625,110130.705078,1577257.648438,3100353.693359,177659.515625
5,33554432,500,2,4964783.090820,110086.281250,1578675.191406,3098823.136719,177192.717773
6,33554432,500,2,4963542.261719,110132.510742,1576088.889648,3100159.999023,177154.482422
7,33554432,500,2,4964317.845703,110138.381836,1578513.848633,3098338.161133,177320.801758
8,33554432,500,2,4968035.038086,110208.993164,1580860.734375,3099484.261719,177475.072266
9,33554432,500,2,4963872.712891,110584.106445,1575924.006836,3100182.641602,177176.115234
0,33554432,500,3,3459195.852539,86341.598633,1187341.859375,2067026.712891,118423.828125
1,33554432,500,3,3417932.943359,73440.573242,1159618.999023,2066160.402344,118703.809570
2,33554432,500,3,3385124.642578,73458.206055,1126358.898438,2066876.780273,118422.208008
3,33554432,500,3,3387541.429688,73523.991211,1128480.169922,2067080.290039,118448.725586
4,33554432,500,3,3391243.971680,73425.489258,1132130.957031,2067242.883789,118435.620117
5,33554432,500,3,3366256.512695,73437.404297,1107133.862305,2067204.558594,118470.842773
6,33554432,500,3,3367679.555664,73407.470703,1109232.200195,2066630.100586,118401.145508
7,33554432,500,3,3369991.607422,73406.845703,1111282.261719,2066890.943359,118403.103516
8,33554432,500,3,3365793.810547,73408.672852,1107792.113281,2066157.446289,118426.527344
9,33554432,500,3,3366714.888672,73435.772461,1107570.195312,2067230.237305,118469.011719
0,33554432,500,4,2643183.739258,64455.058594,939928.386719,1550005.172852,88707.207031
1,33554432,500,4,2593139.400391,55059.820312,899717.515625,1549680.527344,88671.824219
2,33554432,500,4,2589164.409180,55142.925781,894900.905273,1550381.527344,88727.696289
3,33554432,500,4,2583164.018555,55120.363281,889301.425781,1550004.120117,88726.763672
4,33554432,500,4,2590872.542969,55123.097656,896270.262695,1550616.096680,88852.958984
5,33554432,500,4,2582320.987305,55088.306641,889291.145508,1548995.153320,88934.015625
6,33554432,500,4,2583307.553711,55133.097656,888743.234375,1550476.428711,88944.416016
7,33554432,500,4,2583670.451172,55171.575195,889248.094727,1550474.257812,88766.133789
8,33554432,500,4,2563596.245117,55140.297852,868581.366211,1551065.430664,88798.152344
9,33554432,500,4,2561655.883789,55075.687500,868115.098633,1549734.683594,88719.836914
0,33554432,500,5,2163966.716797,51620.476562,800038.143555,1240956.362305,71231.189453
1,33554432,500,5,2128421.011719,44065.273438,772069.047852,1241198.559570,71077.246094
2,33554432,500,5,2088552.120117,44076.613281,733090.709961,1240178.181641,71195.466797
3,33554432,500,5,2088978.559570,44043.410156,733127.453125,1240582.201172,71213.739258
4,33554432,500,5,2086883.805664,44091.520508,731254.097656,1240413.082031,71115.026367
5,33554432,500,5,2090782.152344,44060.613281,734546.932617,1241008.803711,71154.263672
6,33554432,500,5,2081551.208008,44072.470703,725775.753906,1240546.383789,71144.115234
7,33554432,500,5,2086239.907227,44076.788086,729898.416992,1241026.760742,71227.054688
8,33554432,500,5,2241712.788086,44075.966797,877220.163086,1247330.595703,73074.506836
9,33554432,500,5,2625625.334961,45684.611328,1260882.302734,1246177.976562,72867.967773
