sid,arrsize,bsize,nthreads,total,draw,scatter,sort,gather
0,33554432,33554,1,11617994.451172,259407.388672,1025712.898438,9974503.935547,358369.469727
1,33554432,33554,1,11579206.864258,225634.037109,1010481.163086,9984388.918945,358701.831055
2,33554432,33554,1,11583199.949219,225354.255859,1012890.221680,9986035.247070,358919.285156
0,33554432,16777,1,11070281.459961,260963.236328,1097130.324219,9353340.870117,358846.154297
1,33554432,16777,1,11022074.506836,225711.379883,1080091.630859,9357160.091797,359110.601562
2,33554432,16777,1,11027029.890625,225833.244141,1082363.202148,9360136.711914,358695.977539
0,33554432,11184,1,10693691.470703,259680.887695,1082560.891602,8992185.490234,359262.651367
1,33554432,11184,1,10662768.077148,225716.703125,1083612.266602,8994536.506836,358901.927734
2,33554432,11184,1,10656869.705078,225406.481445,1083553.319336,8988773.517578,359135.393555
0,33554432,8388,1,10540698.918945,258905.031250,1192196.844727,8730729.640625,358866.399414
1,33554432,8388,1,10505354.000000,225415.347656,1190872.643555,8730232.011719,358832.989258
2,33554432,8388,1,10504575.499023,225302.694336,1192292.334961,8728039.277344,358940.441406
0,33554432,6710,1,10331118.046875,259450.981445,1180556.634766,8531687.416016,359422.069336
1,33554432,6710,1,10304021.030273,224948.218750,1180638.555664,8538862.900391,359570.623047
2,33554432,6710,1,10305029.574219,225803.050781,1181868.102539,8537913.627930,359443.937500
0,33554432,5592,1,10264909.387695,259963.255859,1272526.207031,8372835.109375,359584.003906
1,33554432,5592,1,10224700.696289,225287.370117,1273742.519531,8366408.669922,359261.334961
2,33554432,5592,1,10225943.907227,225256.345703,1272269.804688,8369040.471680,359376.624023
0,33554432,4793,1,10181643.671875,259499.070312,1339942.986328,8222280.495117,359920.467773
1,33554432,4793,1,10150429.080078,225115.861328,1342035.057617,8223845.337891,359432.085938
2,33554432,4793,1,10160057.090820,225021.457031,1347577.181641,8228007.119141,359450.580078
0,33554432,4194,1,10122430.518555,258907.023438,1403854.339844,8100252.970703,359415.293945
1,33554432,4194,1,10093247.509766,225332.329102,1405229.454102,8103239.108398,359445.902344
2,33554432,4194,1,10093510.260742,225312.720703,1402663.985352,8105859.053711,359673.040039
0,33554432,3728,1,9940631.784180,259350.178711,1322548.218750,7999228.998047,359503.636719
1,33554432,3728,1,9910139.798828,225420.042969,1323975.882812,8001086.506836,359656.289062
2,33554432,3728,1,9914046.291992,224928.490234,1328996.321289,8000647.040039,359473.614258
0,33554432,3355,1,9892750.724609,258874.242188,1364471.989258,7909756.496094,359647.295898
1,33554432,3355,1,9859126.385742,225223.320312,1365872.340820,7908278.224609,359751.499023
2,33554432,3355,1,9863604.599609,225219.676758,1367462.840820,7910806.685547,360114.753906
0,33554432,3050,1,9857056.362305,259463.929688,1411172.803711,7825954.980469,360463.852539
1,33554432,3050,1,9827676.513672,225892.350586,1413820.131836,7827547.226562,360415.950195
2,33554432,3050,1,9825787.204102,225679.630859,1412875.667969,7827207.662109,360023.283203
0,33554432,2796,1,9789959.147461,258986.907227,1429894.114258,7741172.293945,359904.861328
1,33554432,2796,1,9760969.082031,225376.679688,1429338.471680,7746209.806641,360043.445312
2,33554432,2796,1,9760239.915039,225351.342773,1432749.651367,7742175.524414,359962.565430
0,33554432,2581,1,9786225.842773,259425.937500,1492470.257812,7674101.270508,360227.645508
1,33554432,2581,1,9750050.926758,225329.035156,1486278.343750,7678144.824219,360298.013672
2,33554432,2581,1,9751571.367188,225224.918945,1487385.219727,7678454.813477,360505.627930
0,33554432,2396,1,9724223.258789,258902.646484,1498852.983398,7606330.609375,360136.368164
1,33554432,2396,1,9690016.458008,225085.408203,1495962.171875,7608733.925781,360234.169922
2,33554432,2396,1,9689313.666992,225567.783203,1497116.101562,7606593.451172,360035.476562
0,33554432,2236,1,9719414.001953,259289.511719,1554438.834961,7545127.936523,360556.889648
1,33554432,2236,1,9685386.219727,225561.477539,1555045.574219,7544268.708008,360509.644531
2,33554432,2236,1,9680218.898438,225536.251953,1551730.987305,7542471.083008,360479.747070
0,33554432,2097,1,9686015.076172,259183.451172,1573057.015625,7493066.548828,360706.884766
1,33554432,2097,1,9652717.238281,225786.001953,1574367.311523,7491958.900391,360604.250000
2,33554432,2097,1,9653224.002930,225620.386719,1573177.395508,7493826.261719,360599.166992
0,33554432,1973,1,9571666.196289,259409.061523,1507265.834961,7443301.834961,361688.478516
1,33554432,1973,1,9548633.623047,225735.162109,1512208.701172,7448935.079102,361753.859375
2,33554432,1973,1,9543317.235352,226014.367188,1510840.292969,7445092.642578,361369.156250
0,33554432,1864,1,9500076.722656,260025.345703,1494368.935547,7384398.924805,361282.729492
1,33554432,1864,1,9471074.292969,225705.051758,1494005.562500,7390438.269531,360924.310547
2,33554432,1864,1,9466522.138672,225522.592773,1493455.293945,7386696.781250,360846.597656
0,33554432,1766,1,9483563.536133,259207.875000,1522575.052734,7340629.958008,361149.395508
1,33554432,1766,1,9452561.555664,225606.063477,1525074.144531,7340761.740234,361118.947266
2,33554432,1766,1,9451274.576172,225570.257812,1520650.220703,7343832.168945,361221.195312
0,33554432,1677,1,9455826.706055,259094.703125,1547285.448242,7288307.654297,361137.383789
1,33554432,1677,1,9425594.646484,224813.660156,1544824.055664,7294672.197266,361283.899414
2,33554432,1677,1,9434987.347656,225448.525391,1550477.500977,7297480.994141,361579.649414
0,33554432,1597,1,9443375.841797,259360.416992,1571685.439453,7250828.348633,361500.818359
1,33554432,1597,1,9411854.456055,225730.850586,1572790.686523,7251958.961914,361373.216797
2,33554432,1597,1,9411586.203125,225584.645508,1573548.294922,7250725.807617,361726.686523
0,33554432,1525,1,9431453.071289,260755.175781,1596534.050781,7212518.912109,361644.224609
1,33554432,1525,1,9401491.152344,225661.064453,1597468.503906,7216515.416016,361845.314453
2,33554432,1525,1,9400463.426758,225324.671875,1595521.943359,7217905.838867,361710.130859
0,33554432,1458,1,9414610.192383,260744.290039,1618428.628906,7173292.252930,362144.164062
1,33554432,1458,1,9380839.792969,225642.549805,1620604.783203,7172214.960938,362376.699219
2,33554432,1458,1,9385728.679688,225963.231445,1620172.653320,7177345.003906,362246.701172
0,33554432,1398,1,9436608.475586,260931.551758,1673638.081055,7138294.901367,363742.934570
1,33554432,1398,1,9401352.625000,225766.085938,1673552.316406,7139727.759766,362305.644531
2,33554432,1398,1,9400010.250000,225990.240234,1673633.600586,7137935.868164,362449.754883
0,33554432,1342,1,9407036.914062,260771.388672,1683676.733398,7100094.342773,362493.583008
1,33554432,1342,1,9384279.753906,225721.584961,1688526.229492,7107475.932617,362554.871094
2,33554432,1342,1,9379065.324219,225646.699219,1686745.222656,7104146.280273,362526.055664
0,33554432,1290,1,9361913.661133,260847.946289,1671609.247070,7066879.937500,362575.694336
1,33554432,1290,1,9332805.112305,225798.035156,1675993.880859,7068470.781250,362541.459961
2,33554432,1290,1,9331884.727539,225668.145508,1676617.892578,7067001.580078,362596.350586
0,33554432,1242,1,9374996.470703,284792.003906,1692724.481445,7034855.416016,362623.670898
1,33554432,1242,1,9342659.678711,248402.139648,1701108.231445,7030537.375977,362610.943359
2,33554432,1242,1,9343140.258789,248609.764648,1698171.778320,7033883.112305,362474.629883
0,33554432,1198,1,9358927.916992,260816.370117,1734627.812500,7000520.798828,362962.230469
1,33554432,1198,1,9328827.288086,225654.370117,1737523.477539,7002386.194336,363262.448242
2,33554432,1198,1,9327678.511719,225845.822266,1735397.510742,7003142.295898,363291.794922
0,33554432,1157,1,9336719.577148,274458.018555,1727778.110352,6971285.630859,363196.981445
1,33554432,1157,1,9309494.523438,238886.085938,1733450.950195,6973876.233398,363280.359375
2,33554432,1157,1,9303738.574219,238893.983398,1728849.004883,6972843.791992,363150.977539
0,33554432,1118,1,9313651.615234,260761.717773,1745484.496094,6943881.160156,363523.390625
1,33554432,1118,1,9278922.964844,225716.365234,1747215.342773,6942352.303711,363637.946289
2,33554432,1118,1,9276215.880859,225871.454102,1743432.317383,6943502.039062,363409.205078
0,33554432,1082,1,9291274.704102,260754.207031,1753129.179688,6914066.028320,363324.447266
1,33554432,1082,1,9255435.759766,225962.725586,1752962.740234,6912963.519531,363546.014648
2,33554432,1082,1,9254119.081055,225682.840820,1753500.973633,6911181.880859,363752.742188
0,33554432,1048,1,9284934.006836,260958.621094,1776151.162109,6883803.111328,364020.247070
1,33554432,1048,1,9256684.716797,225901.339844,1781471.447266,6885626.451172,363684.812500
2,33554432,1048,1,9261208.548828,225866.129883,1780456.673828,6890997.371094,363887.627930
0,33554432,1016,1,9187631.520508,260955.206055,1699050.234375,6863673.720703,363951.685547
1,33554432,1016,1,9152926.957031,225541.821289,1698925.275391,6864308.404297,364150.642578
2,33554432,1016,1,9153165.452148,225441.254883,1697702.798828,6866148.140625,363872.476562
0,33554432,986,1,9118609.212891,260890.873047,1662855.062500,6830922.734375,363939.916016
1,33554432,986,1,9087457.051758,225707.626953,1664659.302734,6833106.163086,363983.257812
2,33554432,986,1,9087734.263672,225731.057617,1661093.913086,6836622.797852,364285.775391
0,33554432,958,1,9117920.859375,260878.494141,1684339.900391,6807446.263672,365255.176758
1,33554432,958,1,9089032.483398,226201.965820,1681770.000000,6815896.985352,365162.788086
2,33554432,958,1,9093248.362305,226200.938477,1683943.270508,6818091.653320,365011.723633
0,33554432,932,1,9089145.514648,261253.783203,1666737.225586,6795877.464844,365275.516602
1,33554432,932,1,9066251.147461,226136.303711,1673806.663086,6801003.111328,365304.320312
2,33554432,932,1,9055905.991211,226130.948242,1667711.085938,6797056.672852,365006.255859
0,33554432,906,1,9078664.888672,261015.535156,1681434.931641,6770591.492188,365621.786133
1,33554432,906,1,9048554.664062,226246.556641,1682548.272461,6774114.896484,365643.972656
2,33554432,906,1,9036102.380859,226254.621094,1681092.255859,6763908.006836,364846.824219
0,33554432,883,1,9048960.977539,261106.981445,1690149.576172,6732821.384766,364882.181641
1,33554432,883,1,9018813.076172,225818.973633,1695094.683594,6733123.104492,364775.592773
2,33554432,883,1,9015230.187500,225678.365234,1694118.185547,6730842.029297,364590.687500
0,33554432,860,1,9039077.338867,260783.110352,1703697.819336,6709582.626953,365012.964844
1,33554432,860,1,9005390.070312,225715.769531,1704881.543945,6709591.807617,365199.837891
2,33554432,860,1,9007152.041016,225624.727539,1704901.006836,6711240.496094,365384.764648
0,33554432,838,1,9059419.828125,260913.460938,1746319.727539,6687185.826172,365000.133789
1,33554432,838,1,9030861.599609,225843.722656,1750683.541016,6689467.881836,364865.342773
2,33554432,838,1,9034175.708984,225785.052734,1751569.686523,6691793.077148,365027.044922
