b;t
10000;554.389624122
20000;974.711169208
30000;1366.77930754
40000;1601.64353222
50000;1540.60752984
60000;1463.66115594
70000;1769.68185346
80000;1818.05252963
90000;1922.27809039
100000;2005.94422358
110000;2053.97190874
120000;2156.10808032
130000;2089.8676057
140000;1825.38196231
150000;1858.62806499
160000;1931.36401475
170000;1972.76619056
180000;2045.30909583
190000;2116.47176695
200000;2132.64047033
210000;2256.30186359
220000;2198.97975573
230000;2304.76910856
240000;2234.16942156
250000;2290.71764063
260000;2302.64660376
270000;2257.58700224
280000;2360.61330653
290000;2309.56750252
300000;2402.75202291
310000;2350.83878637
320000;2411.14202886
330000;2441.12931217
340000;2387.46612535
350000;2422.45280528
360000;2515.14143355
370000;2534.34852564
380000;2584.11798348
390000;2394.44279402
400000;2465.99105232
410000;2519.53978664
420000;2527.75417066
430000;2439.39401665
440000;2355.82417105
450000;2592.85556796
460000;2565.45146181
470000;3038.79436196
480000;3058.22222729
490000;2934.17893816
500000;2877.1217149
510000;1980.29975352
520000;2843.82766523
530000;2912.28182429
540000;2780.64734778
550000;2945.48521267
560000;3051.02202882
570000;3011.02428212
580000;2848.79902803
590000;2922.83835382
600000;3078.38825688
610000;3028.40074274
620000;2661.85757021
630000;2895.89262098
640000;2974.25109657
650000;2956.43780542
660000;3046.20703164
670000;3055.17013522
680000;3005.3032711
690000;2982.9043811
700000;2985.93388209
710000;2426.09503501
720000;3033.16899435
730000;3096.87532208
740000;3118.99003643
750000;2698.60318482
760000;2691.22426404
770000;2695.27567703
780000;3064.78022893
790000;3085.01615129
800000;2850.0871264
810000;3047.9228372
820000;3043.23342901
830000;3104.81366332
840000;3118.83846081
850000;2013.68050128
860000;3112.92465156
870000;3177.91811888
880000;2839.08467478
890000;2847.45960573
900000;2782.9963184
910000;3038.71554162
920000;3016.20239283
930000;3092.26792449
940000;2828.10661765
950000;3052.59376586
960000;2812.68323248
970000;2803.42799655
980000;2825.21153511
990000;2825.09569078
1000000;3092.78816508
1010000;3086.02693742
1020000;3168.66294549
1030000;2861.84448806
1040000;2883.36198633
1050000;3078.25377659
1060000;3128.13684132
1070000;3057.35143508
1080000;3001.26602013
1090000;3374.09357965
1100000;2787.43912699
1110000;3110.06989291
1120000;3163.64709487
1130000;2805.14977047
1140000;3182.16854023
1150000;2002.00247996
1160000;2464.54283444
1170000;2758.04383371
1180000;3118.08554407
1190000;2795.86003676
1200000;2951.08330615
1210000;3125.84834722
1220000;2767.28229838
1230000;3055.48409106
1240000;2815.12149391
1250000;2709.27993541
1260000;3055.80458386
1270000;3132.64320218
1280000;2765.54936076
1290000;2775.80551695
1300000;3221.14618225
1310000;3055.38566851
1320000;2797.57142794
