bytes;throughput
100;122.706395615
200;223.978052383
300;324.218816379
400;426.852294267
500;514.218950182
600;626.574685743
700;707.582724429
800;833.866720097
900;910.655899258
1000;980.505909288
1100;1096.53051936
1200;1132.64861307
1300;987.511695086
1400;1247.13822105
1500;1424.1917347
1600;1486.20750729
1700;1595.12909933
1800;1682.35274325
1900;1734.66895585
2000;1798.11675498
2100;1527.92658768
2200;1505.12483077
2300;1466.17905483
2400;1742.79313882
2500;2131.47406107
2600;2215.12891399
2700;2380.80696291
2800;2503.15476267
2900;2499.8934561
3000;2488.00763234
3100;2697.01836624
3200;2722.68313179
3300;2823.95011591
3400;2763.52466484
3500;2819.9574511
3600;2922.75738487
3700;2951.12685662
3800;3102.16754699
3900;3175.62159171
4000;2997.09547905
4100;2419.23475374
4200;3088.43003957
4300;3165.24162259
4400;3384.52317698
4500;3289.68961502
4600;2625.62726903
4700;3578.60744445
4800;3615.94166405
4900;3554.84074679
5000;3826.08187988
5100;3753.14811578
5200;3854.55210281
5300;3694.36647122
5400;3905.83292305
5500;3866.357776
5600;4295.3551052
5700;4065.57851194
5800;3980.5509857
5900;4277.12804736
6000;4205.78667383
6100;4406.42648135
6200;4312.42175349
6300;4376.87346602
6400;4444.39220637
6500;4162.18315194
6600;3295.23525762
6700;4534.70282089
6800;4672.05608839
6900;4689.82856772
7000;4128.94501239
7100;4306.97538602
7200;4935.62452042
7300;4909.76820112
7400;5041.809118
7500;4695.80852402
7600;4592.38359292
7700;5023.27481996
7800;4905.92675916
7900;5472.11689042
8000;5382.35878187
8100;4910.00993055
8200;5224.87469154
8300;5123.80836528
8400;5359.54684706
8500;5323.3168838
8600;5196.75689421
8700;5355.11328755
8800;5235.24372032
8900;3644.53020212
9000;5398.12289185
9100;5487.9631626
9200;5517.88391202
9300;4936.25887279
9400;4389.54232015
9500;5607.67887976
9600;5565.65924861
9700;5741.61328898
9800;5613.85829181
9900;5550.96467199
10000;5814.99863526
10100;5573.94050567
10200;5751.00914434
10300;5372.91981988
10400;5864.75950133
10500;6062.34796232
10600;5674.91919378
10700;5974.92128294
10800;6022.20789444
10900;5648.16585758
11000;4857.35504214
11100;3497.21428072
11200;5319.68442822
11300;5657.05259514
11400;6246.40075247
11500;6392.97752544
11600;5944.02516691
11700;5064.76765149
11800;6101.54383234
11900;6029.77060617
12000;6699.87069593
12100;6282.06535066
12200;6054.59330017
12300;6477.91325312
12400;6034.6940635
12500;6602.47897718
12600;6511.18925895
12700;6046.6199661
12800;6490.39549553
12900;6275.27527567
13000;6583.0983335
13100;6552.2176962
13200;6733.95529838
13300;6583.17284677
13400;4731.56131107
13500;6037.51557911
13600;4659.71676773
13700;6839.77369765
13800;6865.91681148
13900;6613.87184387
14000;6099.95024075
14100;6787.51795914
14200;6397.23277986
14300;7043.58496391
14400;7097.79509719
14500;6010.25631397
14600;6864.39495849
14700;6191.92320386
14800;6817.41308583
14900;6804.01463794
15000;6774.93209137
15100;6955.37473111
15200;7059.03132312
15300;7000.19579933
15400;5874.0448029
15500;6667.04306454
15600;6939.18560645
15700;6694.98049094
15800;6298.53188234
15900;6818.83411926
16000;6789.50462006
16100;6915.84896738
16200;6744.04880294
16300;6644.91018744
16400;6782.30740542
16500;6650.42796396
16600;7490.9013191
16700;7050.63851573
16800;6792.45243297
16900;7022.82012341
17000;5905.26573292
17100;6734.55580373
17200;6720.00137861
17300;7182.82721124
17400;7267.0540971
17500;6992.2755459
17600;6986.14446117
17700;7051.92883401
17800;7269.71954315
17900;7498.3749535
18000;7189.41806021
18100;6910.54777906
18200;7239.56991532
18300;6885.0518762
18400;7732.51076525
18500;7150.72971756
18600;6372.55836835
18700;7323.84524944
18800;6952.70748347
18900;6672.74583216
19000;7421.7968865
19100;7214.37011363
19200;7572.05815103
19300;7143.92287305
19400;7578.80400248
19500;7601.20148699
19600;7562.44467966
19700;7730.50464575
19800;7570.65683801
19900;7209.8321457
20000;7682.3723146
20100;7100.28585836
20200;7504.75997208
20300;7355.82165165
20400;6536.24373468
20500;7742.67095448
20600;7313.39281136
20700;8040.4925447
20800;7870.89780484
20900;7072.67219507
21000;7955.86124047
21100;7546.73968117
21200;8010.23311467
21300;7661.2767762
21400;7837.66415913
21500;8135.90306661
21600;8229.56498911
21700;8040.41096325
21800;6854.34661702
21900;6699.02392749
22000;8053.82513256
22100;7893.02177052
22200;7395.3235991
22300;8069.18323043
22400;8014.19056246
22500;8382.75404343
22600;8021.31771797
22700;6295.3489939
22800;8166.29146012
22900;7607.65256512
23000;8686.10717059
23100;8225.69647883
23200;5592.4334562
23300;7762.54461745
23400;6970.5915773
23500;6088.79311224
23600;8103.79480903
23700;8507.43842821
23800;8412.51562713
23900;8020.19497467
24000;7859.76072474
24100;7942.03339406
24200;7845.55459646
24300;8544.76534486
24400;8136.08104995
24500;7513.30422452
24600;8362.75061307
24700;7621.33685467
24800;7516.76549704
24900;6889.51293229
25000;7628.15355775
25100;8339.11733205
25200;7710.4375373
25300;8691.2605365
25400;8465.02232307
25500;8091.0784221
25600;8583.98160076
25700;8023.37656233
25800;8345.53790804
25900;8509.81953667
26000;8343.86402914
26100;7947.71534283
26200;6164.38972286
26300;6785.14112696
26400;8428.65608895
26500;8406.10220894
26600;8676.059552
26700;7953.16478143
26800;7646.72580134
26900;8510.0863186
27000;7833.14720196
27100;9118.87511106
27200;9019.39354626
27300;7778.14802949
27400;7282.6891291
27500;7995.93837019
27600;7707.87488155
27700;8294.80853828
27800;8411.76304197
27900;8862.72822313
28000;8616.3172631
28100;8655.8973351
28200;8343.18277217
28300;8726.09271935
28400;8397.94109915
28500;7720.11386002
28600;7765.51376485
28700;8600.30818184
28800;8418.81194947
28900;7639.93411078
29000;8367.00885516
29100;8058.78624904
29200;8728.80728531
29300;8045.02634174
29400;9350.03133231
29500;8806.03651924
29600;8120.17583596
29700;7956.19737874
29800;8229.56746631
29900;9041.74152549
30000;8833.56574872
30100;8728.31639387
30200;8768.16123097
30300;8434.57714134
30400;8675.50613164
30500;8444.1699461
30600;8872.35427007
30700;9150.6573033
30800;8026.52195247
30900;7299.25861304
31000;8823.65698445
31100;8201.52553273
31200;9665.28085262
31300;7660.51351408
31400;7679.98003339
31500;8886.38670949
31600;8248.03896878
31700;9172.33244844
31800;8987.43469748
31900;8401.80660607
32000;8705.35012394
32100;7514.24065723
32200;8950.4020849
32300;8914.38417433
32400;8350.50238956
32500;7746.67390766
32600;6720.59621846
32700;7583.76368498
32800;8126.74051126
32900;9967.20588891
33000;10188.3911571
33100;8130.4389303
33200;9586.64231641
33300;9975.2893578
33400;9928.15582888
33500;10416.4063616
33600;8143.38545814
33700;7315.56447593
33800;8063.40296653
33900;7952.40453614
34000;8019.61152163
34100;8057.40948279
34200;8228.28869669
34300;8241.68140704
34400;7658.0210997
34500;8062.82881737
34600;7707.01087295
34700;7927.56147196
34800;7851.64726786
34900;7275.08486545
35000;7770.35164592
35100;7971.73832221
35200;7885.96983662
35300;7758.18411279
35400;6390.74096753
35500;7509.52075976
35600;7267.62086304
35700;7674.38501683
35800;7854.45565113
35900;7694.0314537
36000;7650.85322537
36100;7101.54411207
36200;7026.23630756
36300;7398.66912798
36400;6966.97637387
36500;7487.67183621
36600;7451.24720872
36700;7379.60311089
36800;7362.60498662
36900;6253.93714386
37000;7132.34433755
37100;7480.29188336
37200;7370.27433324
37300;5846.317867
37400;6471.27782205
37500;7549.97445423
37600;7687.49234204
37700;5801.206449
37800;7265.92003611
37900;7349.84805903
38000;7417.70593428
38100;7508.48232524
38200;7076.09828085
38300;7215.89951131
38400;5880.40881954
38500;5986.30137215
38600;6623.74977057
38700;7133.09561997
38800;7171.73704717
38900;7276.11117627
39000;7141.60775052
39100;6497.49600189
39200;7283.48540918
39300;6731.67752004
39400;6983.90939819
39500;6971.51517096
39600;6901.35508656
39700;6990.04081067
39800;6376.53944351
39900;7204.84439205
40000;7106.25911494
40100;6148.89854084
40200;6863.09342264
40300;6337.71898967
40400;6921.59588339
40500;6919.74303929
40600;6871.56075395
40700;6972.27475349
40800;6590.8886111
40900;6093.37160686
41000;6511.03571687
41100;6895.94090367
41200;7050.83954836
41300;6848.35426076
41400;6850.19859091
41500;6191.77953938
41600;6982.17582037
41700;7057.06149775
41800;6523.87590742
41900;6565.87152721
42000;6575.89425085
42100;6234.1336226
42200;6552.42485531
42300;6705.48079964
42400;6557.79589222
42500;6626.23430783
42600;6244.59269553
42700;6340.86920948
42800;5701.65485751
42900;5816.87477972
43000;5397.2729949
43100;6071.85405006
43200;6111.68904898
43300;6571.94664486
43400;6402.55189288
43500;6227.18713416
43600;6147.41129665
43700;6131.53748714
43800;6397.89077411
43900;6472.98432068
44000;6647.23459653
44100;4611.10588666
44200;4682.87218724
44300;4843.22431131
44400;4899.97568063
44500;4837.83059502
44600;4578.86234646
44700;4872.93516964
44800;4721.40677981
44900;4811.00998498
45000;4997.47450292
45100;4368.3685964
45200;4889.65452157
45300;4762.50322594
45400;4850.73135789
45500;4772.50027509
45600;4882.41852207
45700;4975.96300212
45800;4677.57441823
45900;4806.18036699
46000;4650.96913629
46100;4621.32136162
46200;4687.7159045
46300;4509.74181146
46400;4560.95395223
46500;4476.40666681
46600;4381.58932359
46700;3578.91747447
46800;4275.94787983
46900;4377.12722461
47000;4504.86276959
47100;4417.43487233
47200;4346.30317715
47300;4114.14450426
47400;4353.19444941
47500;4283.77688035
47600;4348.8775906
47700;4194.77173464
47800;3945.86175083
47900;4382.25672669
48000;4373.40044266
48100;4343.78354828
48200;3843.16244045
48300;4160.52663957
48400;4132.60996078
48500;4051.1813994
48600;4054.40714045
48700;4106.38302977
48800;4118.64137196
48900;3929.97971265
49000;4020.15341536
49100;4136.82083141
49200;3916.05700644
49300;3961.99583019
49400;4193.9957116
49500;4044.52630522
49600;3609.84404813
49700;3709.54337248
49800;4223.78568482
49900;4164.94903854
50000;3922.24438235
50100;4126.56825592
50200;4010.02125646
50300;3520.60397125
50400;4087.17480967
50500;3971.61393542
50600;4008.88324648
50700;3596.66446242
50800;4006.62271091
50900;4034.47555592
51000;3727.34407061
51100;3893.56823719
51200;3816.20865535
51300;3849.53860928
51400;3852.10722572
51500;3831.80331569
51600;3829.17695048
51700;3694.58345021
51800;3596.45944361
51900;3786.71460733
52000;3712.76269471
52100;3850.9338396
52200;3422.2775934
52300;3145.5265179
52400;3529.2691342
52500;3615.13152508
52600;3711.34846453
52700;3603.4336215
52800;3734.93683296
52900;3371.98793209
53000;3560.4138756
53100;3729.86355063
53200;3704.28290155
53300;3605.82077322
53400;3700.68678444
53500;3501.10930676
53600;3645.30662526
53700;3792.75091152
53800;3633.99097213
53900;3672.57890561
54000;3839.75790914
54100;3455.09523561
54200;4074.03311175
54300;3810.61323096
54400;3540.09974862
54500;3544.20289394
54600;3654.63643771
54700;3035.68485749
54800;3142.88656959
54900;3651.20873148
55000;3545.80182753
55100;3558.50875967
55200;3592.43280308
55300;3385.94456008
55400;3307.21928643
55500;3466.34823094
55600;3500.34488716
55700;3253.10388093
55800;3563.24182051
55900;3369.50167721
56000;3288.86770812
56100;3505.34969855
56200;3387.01384533
56300;3549.46196049
56400;3465.18892821
56500;3110.59734712
56600;3377.06266593
56700;3418.64256586
56800;2956.58962927
56900;3128.32283848
57000;3386.32200096
57100;3274.7255173
57200;3152.85594516
57300;3397.1810974
57400;3358.97275473
57500;3299.26870348
57600;3372.46948692
57700;3296.99075379
57800;3443.301602
57900;3382.23706001
58000;3380.78744797
58100;3546.99948728
58200;3440.4910147
58300;3371.71563171
58400;3104.10946302
58500;3363.85830845
58600;3332.27366239
58700;3222.70613802
58800;3220.07229182
58900;2799.95197984
59000;3360.83877031
59100;3438.22590618
59200;3124.7473766
59300;3340.27508407
59400;3228.01146944
59500;3137.60409373
59600;3378.46123458
59700;3236.19954619
59800;3249.47499479
59900;3069.34513338
60000;3140.23332767
60100;3335.17686736
60200;3131.54064484
60300;3153.73958706
60400;3312.71791432
60500;3132.10786071
60600;3171.87264113
60700;2867.67990321
60800;2606.33312069
60900;3242.37868666
61000;3107.33073638
61100;3172.64755426
61200;3109.19025169
61300;3037.45554649
61400;3210.4428181
61500;3056.58588759
61600;3143.47763552
61700;3080.88858994
61800;3219.38186016
61900;3042.17710169
62000;3216.39879871
62100;3159.69117329
62200;3194.46795106
62300;3166.06979196
62400;3111.10665535
62500;3021.44189412
62600;2800.47943718
62700;3057.20637902
62800;3141.6895001
62900;2939.58616141
63000;3201.66058157
63100;2987.50181378
63200;3148.77050885
63300;3013.31485844
63400;3006.35234642
63500;3097.78324888
63600;3003.58755774
63700;3175.61443593
63800;2921.77646706
63900;2991.47439589
64000;2954.14763147
64100;2750.40442819
64200;2839.9401035
64300;2714.45964834
64400;3011.81855431
64500;3027.25835627
64600;3071.15242045
64700;2791.02270252
64800;3005.52017926
64900;2898.32238381
65000;3029.07840892
65100;2946.95316558
65200;2890.32535071
65300;3052.48861341
65400;2955.34824497
65500;4726.64612833
65600;4814.20594389
65700;4415.82314643
65800;4784.60355462
65900;4826.89294997
66000;4692.96335382
66100;4062.70962384
66200;4805.11266493
66300;4894.7249251
66400;4446.05872751
66500;4918.24248362
66600;4389.14608668
66700;4785.47469248
66800;4714.70302066
66900;6264.99307661
67000;11938.0163479
67100;11838.0903611
67200;6038.12595388
67300;6832.15770689
67400;6703.87915539
67500;6489.21017365
67600;6415.06915132
67700;6190.08703865
67800;6821.45739502
67900;6026.36579829
68000;6364.58999438
68100;6601.34955732
68200;6413.98743584
68300;6275.77574917
68400;6401.21008118
68500;6658.28594107
68600;6595.55646126
68700;6073.83404066
68800;6088.26165012
68900;5016.44489452
69000;6103.88510357
69100;6425.93923739
69200;5862.33093964
69300;6550.79831224
69400;5794.17668266
69500;6358.39179681
69600;6429.438647
69700;6484.34820632
69800;6551.23248882
69900;6496.21304555
70000;6306.44168205
70100;6345.91824783
70200;5668.14204614
70300;6584.17245573
70400;6750.47062276
70500;6228.22789179
70600;6434.70275982
70700;6395.28496658
70800;6558.23423513
70900;5923.15373674
71000;6005.90937406
71100;6564.86930277
71200;6620.09899464
71300;6025.42083546
71400;6464.07375961
71500;6617.34582069
71600;6555.66724406
