bytes;throughput
100;3.1240448831
200;6.21654229435
300;8.81446144296
400;14.6290075066
500;10.5252688992
600;15.6049065019
700;16.1902254973
800;19.6513219314
900;29.4658892615
1000;30.0366223835
1100;33.7686372104
1200;29.9157116908
1300;44.1065355452
1400;41.5408026335
1500;45.5192072013
1600;51.4018153225
1700;51.629230259
1800;55.3779041365
1900;60.5251169793
2000;47.9914075977
2100;62.0539602203
2200;70.1576441512
2300;72.056531767
2400;59.269746125
2500;65.8920745937
2600;85.5795847795
2700;68.8928258647
2800;82.7395353574
2900;66.9548424657
3000;91.2766102141
3100;82.7352000069
3200;73.3712190686
3300;74.3477657541
3400;79.0597962589
3500;102.905920311
3600;116.301641102
3700;108.820757315
3800;103.97483145
3900;102.809717745
4000;123.735688094
4100;114.171705074
4200;149.939562261
4300;125.881657295
4400;120.935725565
4500;135.959232835
4600;127.043556282
4700;130.05807237
4800;156.037868481
4900;121.144540952
5000;146.406981822
5100;149.03878799
5200;175.254261541
5300;152.101052268
5400;152.239182149
5500;189.65188408
5600;133.794902659
5700;184.053332089
5800;156.663376089
5900;150.175601192
6000;159.310023123
6100;134.267063442
6200;138.43428908
6300;180.568328032
6400;136.19249794
6500;148.13356864
6600;186.135013648
6700;168.522228544
6800;186.091826152
6900;184.816109171
7000;158.716311743
7100;157.135958918
7200;197.807270971
7300;153.893728431
7400;209.617446391
7500;160.095398847
7600;170.827585567
7700;210.378318608
7800;161.305569644
7900;183.212225345
8000;213.465344157
8100;191.697708406
8200;188.558704917
8300;198.479008877
8400;190.158014187
8500;275.729826938
8600;226.828477225
8700;189.594454469
8800;190.366782612
8900;196.747261898
9000;193.056427872
9100;210.994980198
9200;185.69506967
9300;200.343262031
9400;213.114914253
9500;209.627956155
9600;212.548298616
9700;197.182355548
9800;208.750322195
9900;218.423521016
10000;226.943901602
10100;239.027913352
10200;261.187991137
10300;238.216618668
10400;221.758315744
10500;238.199645278
10600;251.255895756
10700;259.437560102
10800;282.265174111
10900;262.704770748
11000;247.648506744
11100;230.573272367
11200;267.580802915
11300;252.074726563
11400;278.238379888
11500;273.160002907
11600;196.698496808
11700;249.472675457
11800;240.377035087
11900;259.499994557
12000;251.745611461
12100;248.785779437
12200;241.092797719
12300;246.908857788
12400;268.926281163
12500;261.530425104
12600;296.671833476
12700;276.682341368
12800;318.545122223
